"","ISO","year","PriorityArea","Policy","valueCAP_Comp","Policytype","Policytype_detail"
"94723","USA",2001,"International","Ratification of Climate Treaties",3,"Other","International Co-operation"
"94724","USA",2001,"International","UNFCCC Submission",1,"Other","Climate data"
"94725","USA",2001,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"94726","USA",2001,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"94727","USA",2001,"Transport","Congestion Charges",0,"MBI","Other MBI"
"94728","USA",2001,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"94729","USA",2001,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"94730","USA",2001,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"94731","USA",2001,"Transport","Investment in Rail Infrastructure",1,"NMBI","Other NMBI"
"94732","USA",2001,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"94733","USA",2001,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"94734","USA",2001,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"94735","USA",2002,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"94736","USA",2002,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"94737","USA",2002,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"94738","USA",2002,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"94739","USA",2002,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"94740","USA",2002,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"94741","USA",2002,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94742","USA",2002,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94743","USA",2002,"Buildings","Labels Appliances",10,"NMBI","Information"
"94744","USA",2002,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94745","USA",2002,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94746","USA",2002,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94747","USA",2002,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94748","USA",2002,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94749","USA",2002,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94750","USA",2002,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94751","USA",2002,"Cross_sectoral","RDD_CCS",0,"MBI","Other MBI"
"94752","USA",2002,"Cross_sectoral","RDD_EnergyEfficiency",6,"MBI","Other MBI"
"94753","USA",2002,"Cross_sectoral","RDD_Hydrogen",NA,"MBI","Other MBI"
"94754","USA",2002,"Cross_sectoral","RDD_Nuclear",5,"MBI","Other MBI"
"94755","USA",2002,"Cross_sectoral","RDD_Otherstorage",4,"MBI","Other MBI"
"94756","USA",2002,"Cross_sectoral","RDD_Renewables",3,"MBI","Other MBI"
"94757","USA",2002,"Electricity","AirEmissionStandards",2,"NMBI","Performance Standards"
"94758","USA",2002,"Electricity","Auction",0,"MBI","Subsidy"
"94759","USA",2002,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94760","USA",2002,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94761","USA",2002,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94762","USA",2002,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94763","USA",2002,"Electricity","Feed-In-Tariffs",0,"MBI","Subsidy"
"94764","USA",2002,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94765","USA",2002,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94766","USA",2002,"Electricity","Renewable energy certificates",1,"MBI","Subsidy"
"94767","USA",2002,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94768","USA",2002,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94769","USA",2002,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94770","USA",2002,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94771","USA",2002,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"94772","USA",2002,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"94773","USA",2002,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"94774","USA",2002,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"94775","USA",2002,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"94776","USA",2002,"International","Evaluation Biannual Report",0,"Other","Climate data"
"94777","USA",2002,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"94778","USA",2002,"International","International Initiatives",0,"Other","International Co-operation"
"94779","USA",2002,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
"94780","USA",2002,"International","Ratification of Climate Treaties",3,"Other","International Co-operation"
"94781","USA",2002,"International","UNFCCC Submission",1,"Other","Climate data"
"94782","USA",2002,"Transport","Bans and Phaseouts passenger cars ICE",0,"NMBI","Technology Standards"
"94783","USA",2002,"Transport","Carbon Tax Transport",0,"MBI","Carbon Pricing"
"94784","USA",2002,"Transport","Congestion Charges",0,"MBI","Other MBI"
"94785","USA",2002,"Transport","ETS Transport",0,"MBI","Carbon Pricing"
"94786","USA",2002,"Transport","Excise Tax Transport",2,"MBI","Carbon Pricing"
"94787","USA",2002,"Transport","Fossil Fuel Subsidies Transport",NA,"MBI","Carbon Pricing"
"94788","USA",2002,"Transport","Investment in Rail Infrastructure",1,"NMBI","Other NMBI"
"94789","USA",2002,"Transport","Labels Passenger Cars",0,"NMBI","Information"
"94790","USA",2002,"Transport","MEPS Transport",5,"NMBI","Performance Standards"
"94791","USA",2002,"Transport","Speed Limits",7,"NMBI","Other NMBI"
"94792","USA",2003,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"94793","USA",2003,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"94794","USA",2003,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"94795","USA",2003,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"94796","USA",2003,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"94797","USA",2003,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"94798","USA",2003,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94799","USA",2003,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94800","USA",2003,"Buildings","Labels Appliances",10,"NMBI","Information"
"94801","USA",2003,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94802","USA",2003,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94803","USA",2003,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94804","USA",2003,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94805","USA",2003,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94806","USA",2003,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94807","USA",2003,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94808","USA",2003,"Cross_sectoral","RDD_CCS",0,"MBI","Other MBI"
"94809","USA",2003,"Cross_sectoral","RDD_EnergyEfficiency",5,"MBI","Other MBI"
"94810","USA",2003,"Cross_sectoral","RDD_Hydrogen",NA,"MBI","Other MBI"
"94811","USA",2003,"Cross_sectoral","RDD_Nuclear",5,"MBI","Other MBI"
"94812","USA",2003,"Cross_sectoral","RDD_Otherstorage",5,"MBI","Other MBI"
"94813","USA",2003,"Cross_sectoral","RDD_Renewables",3,"MBI","Other MBI"
"94814","USA",2003,"Electricity","AirEmissionStandards",2,"NMBI","Performance Standards"
"94815","USA",2003,"Electricity","Auction",0,"MBI","Subsidy"
"94816","USA",2003,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94817","USA",2003,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94818","USA",2003,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94819","USA",2003,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94820","USA",2003,"Electricity","Feed-In-Tariffs",0,"MBI","Subsidy"
"94821","USA",2003,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94822","USA",2003,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94823","USA",2003,"Electricity","Renewable energy certificates",1,"MBI","Subsidy"
"94824","USA",2003,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94825","USA",2003,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94826","USA",2003,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94827","USA",2003,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94828","USA",2003,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"94829","USA",2003,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"94830","USA",2003,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"94831","USA",2003,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
